"用例编号","所属产品","所属模块","相关需求","用例标题","前置条件","步骤","预期","实际情况","关键词","优先级","用例类型","适用阶段","用例状态","B","R","S","结果","由谁创建","创建日期","最后修改者","修改日期","用例版本","相关用例"
"138531","离线开发_STD(#24)","/版本迭代测试用例/BatchWork_6.3.2/HDFS下载优化迁移至5.3版本(#8201)","HDFS优化迁移至5.3版本(#13624)","大数据量查询——验证spark SQL查询大数据量表时正常查询","无","1. 新建spark SQL任务
2. 输入简单查询语句select count(*) from table（所查询表需满足条件：1.内含分区字段2.分区内存在巨量的数据，如10亿条数据）后保存
3. 进行临时运行
4. 点击下载","1. 新建成功
2. sql任务保存成功
3. 1.任务运行成功2.所执行的sql语句产生对应的结果3.数据无乱码错位等异常
4. 下载成功，速度正常，内容正常显示","1. 
2. 
3. 
4.","","2","功能测试","功能测试阶段","正常","0","0","4","","金奇","2024-10-28","","0000-00-00","1","",""
"138530","离线开发_STD(#24)","/版本迭代测试用例/BatchWork_6.3.2/HDFS下载优化迁移至5.3版本(#8201)","HDFS优化迁移至5.3版本(#13624)","大数据量查询——验证spark SQL查询大数据量表时正常条件查询","无","1. 新建spark SQL任务
2. 输入简单查询语句select * from table where limit 10（所查询表需满足条件：1.内含分区字段2.分区内存在巨量的数据，如10亿条数据）后保存
3. 进行临时运行
4. 点击下载","1. 新建成功
2. sql任务保存成功
3. 1.任务运行成功2.所执行的sql语句产生对应的结果3.数据无乱码错位等异常
4. 下载成功，速度正常，内容正常显示","1. 
2. 
3. 
4.","","2","功能测试","功能测试阶段","正常","0","0","4","","金奇","2024-10-28","","0000-00-00","1","",""
"138529","离线开发_STD(#24)","/版本迭代测试用例/BatchWork_6.3.2/HDFS下载优化迁移至5.3版本(#8201)","HDFS优化迁移至5.3版本(#13624)","大数据量查询——验证spark SQL查询多分区表时正常查询","无","1. 新建spark SQL任务
2. 输入简单查询语句select * from table（所查询表需满足条件：1.内含巨量分区字段）后保存
3. 进行临时运行
4. 点击下载","1. 新建成功
2. sql任务保存成功
3. 1.任务运行成功2.所执行的sql语句产生对应的结果3.数据无乱码错位等异常
4. 下载成功，速度正常，内容正常显示","1. 
2. 
3. 
4.","","1","功能测试","功能测试阶段","正常","0","0","4","","金奇","2024-10-28","","0000-00-00","1","",""
"138528","离线开发_STD(#24)","/版本迭代测试用例/BatchWork_6.3.2/HDFS下载优化迁移至5.3版本(#8201)","HDFS优化迁移至5.3版本(#13624)","大数据量查询——验证spark SQL查询大数据量表时正常查询","无","1. 新建spark SQL任务
2. 输入简单查询语句select * from table（所查询表需满足条件：1.内含分区字段2.分区内存在巨量的数据，如10亿条数据）后保存
3. 进行临时运行
4. 点击下载","1. 新建成功
2. sql任务保存成功
3. 1.任务运行成功2.所执行的sql语句产生对应的结果3.数据无乱码错位等异常
4. 下载成功，速度正常，内容正常显示","1. 
2. 
3. 
4.","","1","功能测试","功能测试阶段","正常","0","0","4","","金奇","2024-10-28","","0000-00-00","1","",""
"138527","离线开发_STD(#24)","/版本迭代测试用例/BatchWork_6.3.2/OBS数据同步优化(#8200)","obs数据同步优化(#13558)","验证object支持正则匹配表和路径","无","1. 新建数据同步任务
2. 数据源选择obs数据源，object输入正则表达式（正则表达式包括基本写法，如.*+?^$|\d），点击预览，点击下一步
3. 目标数据源选择hive数据源，表选择与obs数据结构相同的表，点击下一步
4. 正确映射字段，字段类型对应，点击下一步，再次点击下一步，点击保存
5. 点击运行","1. 任务新建成功
2. 预览数据正常显示，多文件符合正则表达时显示第一个文件数据内容，进入选择目标表步骤
3. 进入字段映射步骤
4. 通道控制、预览保存均为默认值，任务保存成功
5. 任务运行成功，数据正确同步，目标表数据正常无乱码（正则表达式正确匹配多个文件时文件数据结构一致，不一致则不纳入同步范围）","1. 
2. 
3. 
4. 
5.","","2","功能测试","功能测试阶段","正常","0","0","5","","金奇","2024-10-28","","0000-00-00","1","",""
"138526","离线开发_STD(#24)","/版本迭代测试用例/BatchWork_6.3.2/OBS数据同步优化(#8200)","obs数据同步优化(#13558)","验证obs作为目标表时拷贝目标字段正常使用","无","1. 新建数据同步任务
2. 数据源选择hive数据源，表选择kaobei_table_001，点击预览，点击下一步
3. 目标数据源选择obs数据源，选择包含多种数据类型的表
（类型包括
id BIGINT PRIMARY KEY,          -- 大整型
name VARCHAR(100),             -- 字符串
age INT,                       -- 整型
salary DECIMAL(10, 2),        -- 精确小数
is_active BOOLEAN,             -- 布尔型
hire_date TIMESTAMP,           -- 时间戳
description TEXT               -- 文本
数据包括：
(1, 'Alice', 30, 60000.00, TRUE, '2023-01-15 09:30:00', 'Senior Developer'),
(2, 'Bob', 25, 50000.00, TRUE, '2023-02-20 10:00:00', 'Junior Developer'),
(3, 'Charlie', 35, 70000.00, TRUE, '2022-12-10 08:45:00', 'Project Manager'),
(4, 'David', 28, 55000.50, FALSE, '2023-03-05 11:15:00', 'Intern'),
(5, 'Eve', 40, 80000.75, TRUE, '2021-11-01 09:00:00', 'HR Manager'),
(6, 'Frank', 32, 62000.25, TRUE, '2022-05-18 12:30:00', 'Software Engineer'),
(7, 'Grace', 29, 58000.00, TRUE, '2023-04-12 09:50:00', 'Business Analyst'),
(8, 'Hank', 45, 90000.00, FALSE, '2020-08-23 10:30:00', 'Director'),
(9, 'Ivy', 27, 51000.00, TRUE, '2023-06-30 08:15:00', 'Marketing Specialist'),
(10, 'Jack', 31, 65000.00, TRUE, '2023-07-22 11:45:00', 'Data Scientist')
），点击下一步
4. 点击拷贝目标字段
5. 正确映射字段，字段类型对应，点击下一步，再次点击下一步，点击保存
6. 点击运行","1. 任务新建成功
2. 预览数据正常显示，进入选择目标表步骤
3. 进入字段映射步骤
4. 目标字段拷贝成功，源表新增字段类型与目标表字段一一对应
5. 通道控制、预览保存均为默认值，任务保存成功
6. 任务运行成功，数据正确同步，目标表数据正常无乱码","1. 
2. 
3. 
4. 
5. 
6.","","2","功能测试","功能测试阶段","正常","0","0","6","","金奇","2024-10-28","","0000-00-00","1","",""
"138525","离线开发_STD(#24)","/版本迭代测试用例/BatchWork_6.3.2/OBS数据同步优化(#8200)","obs数据同步优化(#13558)","验证obs作为数据源时拷贝目标字段正常使用","无","1. 新建数据同步任务
2. 数据源选择obs数据源，选择表包含数据类型 id INT，点击下一步
3. 目标数据源选择hive数据源，表选择kaobei_table_002，点击下一步
4. 点击拷贝目标字段
5. 正确映射字段，字段类型对应，点击下一步，再次点击下一步，点击保存
6. 点击运行","1. 任务新建成功
2. 预览数据正常显示，进入选择目标表步骤
3. 进入字段映射步骤
4. 目标字段拷贝成功，源表新增字段类型与目标表字段一一对应
5. 通道控制、预览保存均为默认值，任务保存成功
6. 任务运行成功，数据正确同步，目标表数据正常无乱码","1. 
2. 
3. 
4. 
5. 
6.","","1","功能测试","功能测试阶段","正常","0","1","6","通过","金奇","2024-10-28","","0000-00-00","1","",""
"138524","离线开发_STD(#24)","/版本迭代测试用例/BatchWork_6.3.2/OBS数据同步优化(#8200)","obs数据同步优化(#13558)","验证obs作为目标表时拷贝源字段正常使用","无","1. 新建数据同步任务
2. 数据源选择hive数据源，表选择kaobei_table_002
（建表语句：
CREATE TABLE kaobei_table_002 (
id BIGINT,                      -- 大整型
name STRING,                    -- 字符串
age INT,                        -- 整型
salary DECIMAL(10, 2),         -- 精确小数
is_active BOOLEAN,              -- 布尔型
hire_date TIMESTAMP,            -- 时间戳
description STRING              -- 文本
)
ROW FORMAT DELIMITED
FIELDS TERMINATED BY ','
STORED AS TEXTFILE;
插入数据语句：
INSERT INTO TABLE kaobei_table_001 VALUES
(1, 'Alice', 30, 60000.00, TRUE, '2023-01-15 09:30:00', 'Senior Developer'),
(2, 'Bob', 25, 50000.00, TRUE, '2023-02-20 10:00:00', 'Junior Developer'),
(3, 'Charlie', 35, 70000.00, TRUE, '2022-12-10 08:45:00', 'Project Manager'),
(4, 'David', 28, 55000.50, FALSE, '2023-03-05 11:15:00', 'Intern'),
(5, 'Eve', 40, 80000.75, TRUE, '2021-11-01 09:00:00', 'HR Manager'),
(6, 'Frank', 32, 62000.25, TRUE, '2022-05-18 12:30:00', 'Software Engineer'),
(7, 'Grace', 29, 58000.00, TRUE, '2023-04-12 09:50:00', 'Business Analyst'),
(8, 'Hank', 45, 90000.00, FALSE, '2020-08-23 10:30:00', 'Director'),
(9, 'Ivy', 27, 51000.00, TRUE, '2023-06-30 08:15:00', 'Marketing Specialist'),
(10, 'Jack', 31, 65000.00, TRUE, '2023-07-22 11:45:00', 'Data Scientist');
），点击预览，点击下一步
3. 目标数据源选择obs数据源，选择表包含数据类型 id INT，点击下一步
4. 点击拷贝源字段
5. 正确映射字段，字段类型对应，点击下一步，再次点击下一步，点击保存
6. 点击运行","1. 任务新建成功
2. 预览数据正常显示，进入选择目标表步骤
3. 进入字段映射步骤
4. 源字段拷贝成功，目标表新增字段类型与源表字段一一对应
5. 通道控制、预览保存均为默认值，任务保存成功
6. 任务运行成功，数据正确同步，目标表数据正常无乱码","1. 
2. 
3. 
4. 
5. 
6.","","2","功能测试","功能测试阶段","正常","0","0","6","","金奇","2024-10-28","","0000-00-00","1","",""
"138523","离线开发_STD(#24)","/版本迭代测试用例/BatchWork_6.3.2/OBS数据同步优化(#8200)","obs数据同步优化(#13558)","验证obs作为数据源时拷贝源字段正常使用","无","1. 新建数据同步任务
2. 数据源选择obs数据源，选择包含多种数据类型的表
（类型包括
id BIGINT PRIMARY KEY,          -- 大整型
name VARCHAR(100),             -- 字符串
age INT,                       -- 整型
salary DECIMAL(10, 2),        -- 精确小数
is_active BOOLEAN,             -- 布尔型
hire_date TIMESTAMP,           -- 时间戳
description TEXT               -- 文本
数据包括：
(1, 'Alice', 30, 60000.00, TRUE, '2023-01-15 09:30:00', 'Senior Developer'),
(2, 'Bob', 25, 50000.00, TRUE, '2023-02-20 10:00:00', 'Junior Developer'),
(3, 'Charlie', 35, 70000.00, TRUE, '2022-12-10 08:45:00', 'Project Manager'),
(4, 'David', 28, 55000.50, FALSE, '2023-03-05 11:15:00', 'Intern'),
(5, 'Eve', 40, 80000.75, TRUE, '2021-11-01 09:00:00', 'HR Manager'),
(6, 'Frank', 32, 62000.25, TRUE, '2022-05-18 12:30:00', 'Software Engineer'),
(7, 'Grace', 29, 58000.00, TRUE, '2023-04-12 09:50:00', 'Business Analyst'),
(8, 'Hank', 45, 90000.00, FALSE, '2020-08-23 10:30:00', 'Director'),
(9, 'Ivy', 27, 51000.00, TRUE, '2023-06-30 08:15:00', 'Marketing Specialist'),
(10, 'Jack', 31, 65000.00, TRUE, '2023-07-22 11:45:00', 'Data Scientist')
），点击预览，点击下一步
3. 目标数据源选择hive数据源，表选择kaobei_table_001
（建表语句：
CREATE TABLE example_table (
id INT
);
），点击下一步
4. 点击拷贝源字段
5. 正确映射字段，字段类型对应，点击下一步，再次点击下一步，点击保存
6. 点击运行","1. 任务新建成功
2. 预览数据正常显示，进入选择目标表步骤
3. 进入字段映射步骤
4. 源字段拷贝成功，目标表新增字段类型与源表字段一一对应
5. 通道控制、预览保存均为默认值，任务保存成功
6. 任务运行成功，数据正确同步，目标表数据正常无乱码","1. 
2. 
3. 
4. 
5. 
6.","","1","功能测试","功能测试阶段","正常","0","1","6","通过","金奇","2024-10-28","","0000-00-00","1","",""
"138522","离线开发_STD(#24)","/版本迭代测试用例/BatchWork_6.3.2/OBS数据同步优化(#8200)","obs数据同步优化(#13558)","验证obs-hive数据同步任务正常使用","无","1. 新建数据同步任务
2. 数据源选择obs数据源，选择包含timestamp字段的表，点击预览，点击下一步
3. 目标数据源选择hive数据源，表选择包含timestamp字段的表，点击下一步
4. 正确映射字段，字段类型对应，点击下一步，再次点击下一步，点击保存
5. 点击运行","1. 任务新建成功
2. 预览数据正常显示，进入选择目标表步骤
3. 进入字段映射步骤
4. 通道控制、预览保存均为默认值，任务保存成功
5. 任务运行成功，数据正确同步，目标表数据正常无乱码","1. 
2. 
3. 
4. 
5.","","1","功能测试","功能测试阶段","正常","0","0","5","","金奇","2024-10-28","","0000-00-00","1","",""
